policy_id,title,version,status,domain,owner,approver,review_cycle,issued_on,approved_on
POL-GOV-001,Sistema de Compliance e Gestão de Riscos,0.1.0,draft,Governança,chief-compliance-risk-officer,founder,annual_or_material_change,2026-07-18,
POL-SEC-001,Governança da Segurança da Informação,0.1.0,draft,Segurança,devops-security,founder,annual_or_material_change,2026-07-18,
POL-GOV-002,Gestão de Exceções e Aceitação de Risco,0.1.0,draft,Governança,chief-compliance-risk-officer,founder,annual_or_material_change,2026-07-18,
POL-AUD-001,Auditoria Interna e Assurance,0.1.0,draft,Auditoria,internal-audit-assurance-agent,founder,annual_or_material_change,2026-07-18,
POL-AUD-002,Atendimento a Auditorias Externas,0.1.0,draft,Auditoria,audit-readiness-agent,founder,annual_or_material_change,2026-07-18,
POL-GOV-003,"Não Conformidades, Incidentes e CAPA",0.1.0,draft,Governança,chief-compliance-risk-officer,founder,annual_or_material_change,2026-07-18,
POL-SEC-002,Classificação e Tratamento da Informação,0.1.0,draft,Segurança,evidence-records-governance-agent,founder,annual_or_material_change,2026-07-18,
POL-SEC-003,Identidade e Controle de Acesso,0.1.0,draft,Segurança,devops-security,founder,annual_or_material_change,2026-07-18,
POL-SEC-004,Acessos Privilegiados e Segregação de Funções,0.1.0,draft,Segurança,devops-security,founder,annual_or_material_change,2026-07-18,
POL-SEC-005,"Criptografia, Chaves, Segredos e Credenciais",0.1.0,draft,Segurança,devops-security,founder,annual_or_material_change,2026-07-18,
POL-SEC-006,"Logs, Monitoramento e Trilhas de Auditoria",0.1.0,draft,Segurança,devops-security,founder,annual_or_material_change,2026-07-18,
POL-SEC-007,"Vulnerabilidades, Patches e Dependências",0.1.0,draft,Segurança,devops-security,founder,annual_or_material_change,2026-07-18,
POL-SEC-008,Desenvolvimento Seguro e Gestão de Mudanças,0.1.0,draft,Segurança,software-architect,founder,annual_or_material_change,2026-07-18,
POL-SEC-009,Segurança de CI/CD e Promoção de Releases,0.1.0,draft,Segurança,devops-security,founder,annual_or_material_change,2026-07-18,
POL-BCP-001,"Backup, Restauração e Recuperação de Desastres",0.1.0,draft,Continuidade,devops-security,founder,annual_or_material_change,2026-07-18,
POL-BCP-002,Continuidade de Negócios,0.1.0,draft,Continuidade,chief-compliance-risk-officer,founder,annual_or_material_change,2026-07-18,
POL-SEC-010,Resposta a Incidentes de Segurança,0.1.0,draft,Segurança,devops-security,founder,annual_or_material_change,2026-07-18,
POL-SEC-011,"Endpoints, Trabalho Remoto e Uso Aceitável",0.1.0,draft,Segurança,devops-security,founder,annual_or_material_change,2026-07-18,
POL-PRV-001,Privacidade e Proteção de Dados Pessoais,0.1.0,draft,Privacidade,privacy-data-protection-agent,founder,annual_or_material_change,2026-07-18,
POL-PRV-002,"Retenção, Descarte, Legal Hold e Minimização",0.1.0,draft,Privacidade,evidence-records-governance-agent,founder,annual_or_material_change,2026-07-18,
POL-DAT-001,"Governança, Qualidade e Linhagem de Dados",0.1.0,draft,Dados,data-engineer,founder,annual_or_material_change,2026-07-18,
POL-AI-001,Governança de IA e Model Risk,0.1.0,draft,IA,ai-governance-model-risk-agent,founder,annual_or_material_change,2026-07-18,
POL-AI-002,"Validação, Monitoramento, Drift e Rollback",0.1.0,draft,IA,ai-governance-model-risk-agent,founder,annual_or_material_change,2026-07-18,
POL-MET-001,"Gestão de Métodos, Fórmulas, Datasets e Prompts",0.1.0,draft,Métodos,ai-governance-model-risk-agent,founder,annual_or_material_change,2026-07-18,
POL-EVD-001,"Evidências, Registros e Cadeia de Custódia",0.1.0,draft,Evidências,evidence-records-governance-agent,founder,annual_or_material_change,2026-07-18,
POL-CLM-001,"Claims, Publicação e Segurança Epistêmica",0.1.0,draft,Produto,certification-agent,founder,annual_or_material_change,2026-07-18,
POL-TPR-001,Gestão de Riscos de Terceiros,0.1.0,draft,Terceiros,third-party-risk-agent,founder,annual_or_material_change,2026-07-18,
POL-TPR-002,Due Diligence e Contratação de Fornecedores,0.1.0,draft,Terceiros,third-party-risk-agent,founder,annual_or_material_change,2026-07-18,
POL-TPR-003,Gestão de Subprocessadores,0.1.0,draft,Terceiros,privacy-data-protection-agent,founder,annual_or_material_change,2026-07-18,
POL-SUP-001,"Segurança da Cadeia de Software, APIs e Fontes Externas",0.1.0,draft,Segurança,devops-security,founder,annual_or_material_change,2026-07-18,
